rank,song,artist(s),streams_(billions),release_date,ref.
88,"""See You Again""","Tyler, the Creator and Kali Uchis",2.286,21 July 2017,[89]
89,"""The Scientist""",Coldplay,2.284,26 May 2002,[90]
90,"""Don't Stop Me Now""",Queen,2.282,26 January 1979,[91]
91,"""Too Good At Goodbyes""",Sam Smith,2.28,8 September 2017,[92]
92,"""Iris""",Goo Goo Dolls,2.278,1 April 1998,[93]
93,"""Uptown Funk""",Mark Ronson and Bruno Mars,2.277,10 November 2014,[94]
94,"""Take On Me""",A-ha,2.276,19 October 1984,[95]
95,"""Stay With Me""",Sam Smith,2.27,14 April 2014,[96]
96,"""Havana""",Camila Cabello and Young Thug,2.257,3 August 2017,[97]
97,"""Someone Like You""",Adele,2.254,24 January 2011,[98]
98,"""Die With A Smile""",Lady Gaga and Bruno Mars,2.242,16 August 2024,[99]
99,"""Memories""",Maroon 5,2.235,20 September 2019,[100]
100,"""All the Stars""",Kendrick Lamar and SZA,2.231,4 January 2018,[101]
